1030_x2366	ppe-miR167a
488208_x4	ppe-miR482c-3p
5033667_x1	ppe-miR6259
503661_x4	ppe-miR396b
5069392_x1	ppe-miR482c-3p
5098348_x1	ppe-miR171b
511229_x4	ppe-miR156i
5115956_x1	ppe-miR6258
5157513_x1	ppe-miR3627-5p
516940_x4	ppe-miR8125
5304_x511	ppe-miR482c-3p
5363_x506	ppe-miR482f
5422678_x1	ppe-miR6297b
54_x45986	ppe-miR159
5541_x493	ppe-miR482e
55801_x51	ppe-miR403
565214_x4	ppe-miR399a
5848331_x1	ppe-miR319a
5888_x470	ppe-miR482c-5p
6188_x448	ppe-miR168
61960_x45	ppe-miR395b-3p
6278529_x1	ppe-miR827
6306045_x1	ppe-miR319b
6345207_x1	ppe-miR6297a
6411943_x1	ppe-miR399b
64795_x43	ppe-miR7122a-5p
6616650_x1	ppe-miR3627-5p
66836_x42	ppe-miR398a-3p
678860_x3	ppe-miR171f
680465_x3	ppe-miR828-5p
683088_x3	ppe-miR395a-5p
6838111_x1	ppe-miR6284
697582_x3	ppe-miR6285
7021912_x1	ppe-miR858
7025862_x1	ppe-miR828-3p
70407_x39	ppe-miR7122a-5p
7050_x401	ppe-miR482e
7120717_x1	ppe-miR6265
71487_x39	ppe-miR394a
7205480_x1	ppe-miR398b
7242983_x1	ppe-miR6265
7329230_x1	ppe-miR858
73618_x37	ppe-miR535b
7392852_x1	ppe-miR397
740229_x3	ppe-miR393b
7525647_x1	ppe-miR399n
752835_x3	ppe-miR156f
76127_x36	ppe-miR172b
7633446_x1	ppe-miR397
7639843_x1	ppe-miR3627-3p
764568_x3	ppe-miR6290
766148_x3	ppe-miR6258
77908_x35	ppe-miR396a
7835400_x1	ppe-miR171d-3p
78563_x35	ppe-miR482b-3p
7909193_x1	ppe-miR6274b-3p
7938018_x1	ppe-miR171e
798761_x3	ppe-miR6265
799190_x3	ppe-miR6267a
80197_x34	ppe-miR403
8117406_x1	ppe-miR6297b
8148_x354	ppe-miR482c-3p
822585_x3	ppe-miR3627-5p
8277085_x1	ppe-miR6282
8298839_x1	ppe-miR482e
83073_x32	ppe-miR172d
8325505_x1	ppe-miR858
8342583_x1	ppe-miR168
838431_x3	ppe-miR395a-3p
8452_x342	ppe-miR159
845537_x3	ppe-miR164c
8607387_x1	ppe-miR172a-5p
864389_x3	ppe-miR6258
865107_x3	ppe-miR3627-3p
873101_x3	ppe-miR397
8755617_x1	ppe-miR6259
87960_x30	ppe-miR395b-3p
90_x28056	ppe-miR167c
9118_x321	ppe-miR166b
9177_x319	ppe-miR482e
931030_x2	ppe-miR6290
93167_x28	ppe-miR319a
93360_x28	ppe-miR7122a-5p
955236_x2	ppe-miR6270
961109_x2	ppe-miR530
99396_x26	ppe-miR164c
9969_x296	ppe-miR482f
